ref_number,incident_id,company,incident_date,incident_topic,incident_description,mapped_claim,source_links,legitimacy_flag,confidence_level,notes,publication_track,evidence_tier,source_family,verification_summary,source_origin,source_registry_key
1,ca-dmv-waymo-2026-04-12-2,Waymo,2026-04-12,autonomous_vehicle,"California DMV published an autonomous vehicle collision report for Waymo dated April 12, 2026 (2).",,https://www.dmv.ca.gov/portal/file/waymo_041226-2-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/data,REVIEW,high,"Generated from California DMV AV collision report index entry: Waymo April 12, 2026 (2) (PDF)",verified_accident,official_documented,autonomous_vehicle,"California DMV lists this autonomous-vehicle collision report; editorial review still checks AI relevance, severity, and exact causal claims.",fixed_verified_source,ca_dmv_av_collisions
2,ca-dmv-waymo-2026-04-12-1,Waymo,2026-04-12,autonomous_vehicle,"California DMV published an autonomous vehicle collision report for Waymo dated April 12, 2026 (1).",,https://www.dmv.ca.gov/portal/file/waymo_041226-1-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/data,REVIEW,high,"Generated from California DMV AV collision report index entry: Waymo April 12, 2026 (1) (PDF)",verified_accident,official_documented,autonomous_vehicle,"California DMV lists this autonomous-vehicle collision report; editorial review still checks AI relevance, severity, and exact causal claims.",fixed_verified_source,ca_dmv_av_collisions
3,ca-dmv-waymo-2026-04-10,Waymo,2026-04-10,autonomous_vehicle,"California DMV published an autonomous vehicle collision report for Waymo dated April 10, 2026.",,https://www.dmv.ca.gov/portal/file/waymo_041026-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/data,REVIEW,high,"Generated from California DMV AV collision report index entry: Waymo April 10, 2026 (PDF)",verified_accident,official_documented,autonomous_vehicle,"California DMV lists this autonomous-vehicle collision report; editorial review still checks AI relevance, severity, and exact causal claims.",fixed_verified_source,ca_dmv_av_collisions
4,ca-dmv-waymo-2026-04-06,Waymo,2026-04-06,autonomous_vehicle,"California DMV published an autonomous vehicle collision report for Waymo dated April 6, 2026.",,https://www.dmv.ca.gov/portal/file/waymo_040626-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/data,REVIEW,high,"Generated from California DMV AV collision report index entry: Waymo April 6, 2026 (PDF)",verified_accident,official_documented,autonomous_vehicle,"California DMV lists this autonomous-vehicle collision report; editorial review still checks AI relevance, severity, and exact causal claims.",fixed_verified_source,ca_dmv_av_collisions
5,ca-dmv-nuro-2026-04-03,Nuro,2026-04-03,autonomous_vehicle,"California DMV published an autonomous vehicle collision report for Nuro dated April 3, 2026.",,https://www.dmv.ca.gov/portal/file/nuro_040326-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/data,REVIEW,high,"Generated from California DMV AV collision report index entry: Nuro April 3, 2026 (PDF)",verified_accident,official_documented,autonomous_vehicle,"California DMV lists this autonomous-vehicle collision report; editorial review still checks AI relevance, severity, and exact causal claims.",fixed_verified_source,ca_dmv_av_collisions
6,ca-dmv-zoox-2026-04-02,Zoox,2026-04-02,autonomous_vehicle,"California DMV published an autonomous vehicle collision report for Zoox dated April 2, 2026.",,https://www.dmv.ca.gov/portal/file/zoox_040226-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/data,REVIEW,high,"Generated from California DMV AV collision report index entry: Zoox April 2, 2026 (PDF)",verified_accident,official_documented,autonomous_vehicle,"California DMV lists this autonomous-vehicle collision report; editorial review still checks AI relevance, severity, and exact causal claims.",fixed_verified_source,ca_dmv_av_collisions
