ref_number,incident_id,company,incident_date,incident_topic,incident_description,mapped_claim,source_links,legitimacy_flag,confidence_level,notes,publication_track,evidence_tier,source_family,verification_summary,source_origin,source_registry_key
41,sec-ai-presto-automation-inc-2025-01-14,Presto Automation Inc.,2025-01-14,security_privacy,"SEC official enforcement page records AI-related allegations or findings involving Presto Automation Inc.. SEC Charges Restaurant-Technology Company Presto Automation for Misleading Statements About AI Product Jan. 14, 2025 ADMINISTRATIVE PROCEEDING File No. 3-22413 January 14, 2025 - The Securities and Exchange Commission today announced settled charges against Presto Automation Inc., a restaurant-technology company that was listed on the Nasdaq until September 2024, for making materially false and misleading statements about critical aspects of its flagship artificial intelligence (AI) product, Pr.",,https://www.sec.gov/enforcement-litigation/administrative-proceedings/33-11352-s | https://www.sec.gov/newsroom/press-releases/2024-36 | https://www.sec.gov/newsroom/press-releases/2024-167 | https://www.sec.gov/ai,REVIEW,high,Generated from SEC; source=https://www.sec.gov/enforcement-litigation/administrative-proceedings/33-11352-s,verified_accident,court_or_regulator,security_privacy,"Fixed verified source SEC documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,sec_ai_enforcement
42,sec-ai-destiny-robotics-corp-2024-10-15,Destiny Robotics Corp.,2024-10-15,security_privacy,"SEC official enforcement page records AI-related allegations or findings involving Destiny Robotics Corp.. Destiny Robotics Corp., et al. U.S. SECURITIES AND EXCHANGE COMMISSION Litigation Release No. 26157 / October 15, 2024 Securities and Exchange Commission v. Destiny Robotics Corp., et al. , Civil Action No. 1:24-cv-23958-KMM (S.D. Fla., filed Oct. 15, 2024) Start-Up AI and Robotics Company and CEO Settle SEC Charges The Securities and Exchange Commission today charged Destiny Robotics Corp., an artificial intelligence (“AI”) and robotics start-up company formerly based in Miami, Florida, and Me.",,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26157 | https://www.sec.gov/newsroom/press-releases/2024-36 | https://www.sec.gov/newsroom/press-releases/2024-167 | https://www.sec.gov/ai,REVIEW,high,Generated from SEC; source=https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26157,verified_accident,court_or_regulator,security_privacy,"Fixed verified source SEC documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,sec_ai_enforcement
43,sec-ai-tadrus-capital-llc-2023-08-02,Tadrus Capital LLC,2023-08-02,security_privacy,"SEC official enforcement page records AI-related allegations or findings involving Tadrus Capital LLC. Mina Tadrus; Tadrus Capital LLC U.S. SECURITIES AND EXCHANGE COMMISSION Litigation Release No. 25798 / August 2, 2023 Securities and Exchange Commission v. Mina Tadrus et al. , No. 1:23-cv-05708 (E.D.N.Y. filed July 28, 2023) SEC Charges Florida Resident in Connection with Ponzi Scheme Targeting Religious Community On July 28, 2023, the Securities and Exchange Commission filed a complaint against Mina Tadrus and Tadrus Capital LLC related to an alleged Ponzi scheme. The SEC's complaint alleges.",,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-25798 | https://www.sec.gov/newsroom/press-releases/2024-36 | https://www.sec.gov/newsroom/press-releases/2024-167 | https://www.sec.gov/ai,REVIEW,high,Generated from SEC; source=https://www.sec.gov/enforcement-litigation/litigation-releases/lr-25798,verified_accident,court_or_regulator,security_privacy,"Fixed verified source SEC documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,sec_ai_enforcement
44,sec-ai-youplus-inc-2020-07-20,"YouPlus, Inc.",2020-07-20,security_privacy,"SEC official enforcement page records AI-related allegations or findings involving YouPlus, Inc.. YouPlus, Inc., et al. --> SEC Charges Silicon Valley Start-Up and CEO with Defrauding Investors Litigation Release No. 24854 / July 20, 2020 Securities and Exchange Commission v. Youplus, Inc., et al., No. 5:20-cv-04855 (N.D. Cal. filed July 20, 2020) The Securities and Exchange Commission today charged a Mountain View, California technology start-up and its chief executive officer with defrauding investors of approximately $11 million by making false and misleading statements about the company.",,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-24854 | https://www.sec.gov/newsroom/press-releases/2024-36 | https://www.sec.gov/newsroom/press-releases/2024-167 | https://www.sec.gov/ai,REVIEW,high,Generated from SEC; source=https://www.sec.gov/enforcement-litigation/litigation-releases/lr-24854,verified_accident,court_or_regulator,security_privacy,"Fixed verified source SEC documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,sec_ai_enforcement
