ref_number,incident_id,company,incident_date,incident_topic,incident_description,mapped_claim,source_links,legitimacy_flag,confidence_level,notes,publication_track,evidence_tier,source_family,verification_summary,source_origin,source_registry_key
11,nhtsa-sgo-13781-5630,"Tesla, Inc.",2023-05-01,autonomous_vehicle,"NHTSA SGO ADAS incident report 13781-5630. Report type: 5-Day. Engagement status: ADAS. Vehicle: Tesla Model Y. Highest injury severity alleged: Unknown. Crash with: Other, see Narrative. State: NC. Narrative: [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",,https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting#report-13781-5630 | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting | https://www.nhtsa.gov/data,REVIEW,high,Generated from NHTSA; source=https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting#report-13781-5630,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source NHTSA documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,nhtsa_data
12,nhtsa-sgo-13781-5629,"Tesla, Inc.",2023-05-01,autonomous_vehicle,"NHTSA SGO ADAS incident report 13781-5629. Report type: 5-Day. Engagement status: ADAS. Vehicle: Tesla Model Y. Highest injury severity alleged: Unknown. Crash with: Passenger Car. State: CA. Narrative: [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",,https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting#report-13781-5629 | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting | https://www.nhtsa.gov/data,REVIEW,high,Generated from NHTSA; source=https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting#report-13781-5629,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source NHTSA documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,nhtsa_data
13,nhtsa-sgo-13781-5628,"Tesla, Inc.",2023-05-01,autonomous_vehicle,"NHTSA SGO ADAS incident report 13781-5628. Report type: 5-Day. Engagement status: ADAS. Vehicle: Tesla Model X. Highest injury severity alleged: Unknown. Crash with: Pickup Truck. State: TX. Narrative: [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",,https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting#report-13781-5628 | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting | https://www.nhtsa.gov/data,REVIEW,high,Generated from NHTSA; source=https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting#report-13781-5628,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source NHTSA documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,nhtsa_data
14,nhtsa-sgo-13781-5627,"Tesla, Inc.",2023-05-01,autonomous_vehicle,"NHTSA SGO ADAS incident report 13781-5627. Report type: 5-Day. Engagement status: ADAS. Vehicle: Tesla Model 3. Highest injury severity alleged: Unknown. Crash with: Passenger Car. State: TX. Narrative: [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",,https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting#report-13781-5627 | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting | https://www.nhtsa.gov/data,REVIEW,high,Generated from NHTSA; source=https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting#report-13781-5627,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source NHTSA documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,nhtsa_data
15,nhtsa-sgo-13781-5626,"Tesla, Inc.",2023-05-01,autonomous_vehicle,"NHTSA SGO ADAS incident report 13781-5626. Report type: 5-Day. Engagement status: ADAS. Vehicle: Tesla Model 3. Highest injury severity alleged: Unknown. Crash with: SUV. State: TX. Narrative: [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",,https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting#report-13781-5626 | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting | https://www.nhtsa.gov/data,REVIEW,high,Generated from NHTSA; source=https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting#report-13781-5626,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source NHTSA documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,nhtsa_data
16,nhtsa-sgo-13781-5620,"Tesla, Inc.",2023-05-01,autonomous_vehicle,"NHTSA SGO ADAS incident report 13781-5620. Report type: 5-Day. Engagement status: ADAS. Vehicle: Tesla Model 3. Highest injury severity alleged: Unknown. Crash with: Unknown. State: WA. Narrative: [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",,https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting#report-13781-5620 | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting | https://www.nhtsa.gov/data,REVIEW,high,Generated from NHTSA; source=https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting#report-13781-5620,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source NHTSA documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,nhtsa_data
17,nhtsa-sgo-13781-5619,"Tesla, Inc.",2023-05-01,autonomous_vehicle,"NHTSA SGO ADAS incident report 13781-5619. Report type: 5-Day. Engagement status: ADAS. Vehicle: Tesla Model 3. Highest injury severity alleged: Unknown. Crash with: Other Fixed Object. State: GA. Narrative: [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",,https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting#report-13781-5619 | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting | https://www.nhtsa.gov/data,REVIEW,high,Generated from NHTSA; source=https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting#report-13781-5619,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source NHTSA documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,nhtsa_data
18,nhtsa-sgo-13781-5618,"Tesla, Inc.",2023-05-01,autonomous_vehicle,"NHTSA SGO ADAS incident report 13781-5618. Report type: 5-Day. Engagement status: ADAS. Vehicle: Tesla Model 3. Highest injury severity alleged: Unknown. Crash with: Unknown. State: CA. Narrative: [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",,https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting#report-13781-5618 | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting | https://www.nhtsa.gov/data,REVIEW,high,Generated from NHTSA; source=https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting#report-13781-5618,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source NHTSA documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,nhtsa_data
19,nhtsa-sgo-13781-5617,"Tesla, Inc.",2023-05-01,autonomous_vehicle,"NHTSA SGO ADAS incident report 13781-5617. Report type: 5-Day. Engagement status: ADAS. Vehicle: Tesla Model Y. Highest injury severity alleged: Unknown. Crash with: Other Fixed Object. State: CO. Narrative: [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",,https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting#report-13781-5617 | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting | https://www.nhtsa.gov/data,REVIEW,high,Generated from NHTSA; source=https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting#report-13781-5617,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source NHTSA documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,nhtsa_data
20,nhtsa-sgo-13781-5616,"Tesla, Inc.",2023-05-01,autonomous_vehicle,"NHTSA SGO ADAS incident report 13781-5616. Report type: 5-Day. Engagement status: ADAS. Vehicle: Tesla Model Y. Highest injury severity alleged: Unknown. Crash with: Unknown. State: MI. Narrative: [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",,https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting#report-13781-5616 | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting | https://www.nhtsa.gov/data,REVIEW,high,Generated from NHTSA; source=https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting#report-13781-5616,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source NHTSA documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,nhtsa_data
