ref_number,incident_id,company,incident_date,incident_topic,incident_description,mapped_claim,source_links,legitimacy_flag,confidence_level,notes,publication_track,evidence_tier,source_family,verification_summary,source_origin,source_registry_key
1,ftc-ai-donotpay-2024-09-25,DoNotPay,2024-09-25,customer_support,"FTC official enforcement page records AI-related allegations or findings involving DoNotPay. The FTC is taking action against DoNotPay , a company that claimed to offer an AI service that was “the world’s first robot lawyer,” but the product failed to live up to its lofty claims that the service could substitute for the expertise of a human lawyer. According to the FTC’s complaint, DoNotPay promised that its service would allow consumers to “sue for assault without a lawyer” and “generate perfectly valid legal documents in no time,” and that the company would “replace the $200-billion-.",,https://www.ftc.gov/news-events/news/press-releases/2024/09/ftc-announces-crackdown-deceptive-ai-claims-schemes | https://www.ftc.gov/industry/technology/artificial-intelligence | https://www.ftc.gov/news-events/topics/truth-advertising/artificial-intelligence,REVIEW,high,Generated from FTC; source=https://www.ftc.gov/news-events/news/press-releases/2024/09/ftc-announces-crackdown-deceptive-ai-claims-schemes,verified_accident,court_or_regulator,customer_support,"Fixed verified source FTC documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ftc_ai_enforcement
2,ftc-ai-ascend-ecom-2024-09-25,Ascend Ecom,2024-09-25,model_governance,"FTC official enforcement page records AI-related allegations or findings involving Ascend Ecom. The FTC has filed a lawsuit against an online business opportunity scheme that it alleges has falsely claimed its “cutting edge” AI-powered tools would help consumers quickly earn thousands of dollars a month in passive income by opening online storefronts. According to the complaint, the scheme has defrauded consumers of at least $25 million. The scheme is run by William Basta and Kenneth Leung, and it has operated under a number of different names since 2021, including Ascend Ecom, Ascend Eco.",,https://www.ftc.gov/news-events/news/press-releases/2024/09/ftc-announces-crackdown-deceptive-ai-claims-schemes | https://www.ftc.gov/industry/technology/artificial-intelligence | https://www.ftc.gov/news-events/topics/truth-advertising/artificial-intelligence,REVIEW,high,Generated from FTC; source=https://www.ftc.gov/news-events/news/press-releases/2024/09/ftc-announces-crackdown-deceptive-ai-claims-schemes,verified_accident,court_or_regulator,model_governance,"Fixed verified source FTC documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ftc_ai_enforcement
3,ftc-ai-ecommerce-empire-builders-2024-09-25,Ecommerce Empire Builders,2024-09-25,model_governance,"FTC official enforcement page records AI-related allegations or findings involving Ecommerce Empire Builders. The FTC has charged a business opportunity scheme with falsely claiming to help consumers build an “AI-powered Ecommerce Empire” by participating in its training programs that can cost almost $2,000 or by buying a “done for you” online storefront for tens of thousands of dollars. The scheme, known as Ecommerce Empire Builders (EEB), claims consumers can potentially make millions of dollars, but the FTC’s complaint alleges that those profits fail to materialize. The complaint alleges that EEB’s.",,https://www.ftc.gov/news-events/news/press-releases/2024/09/ftc-announces-crackdown-deceptive-ai-claims-schemes | https://www.ftc.gov/industry/technology/artificial-intelligence | https://www.ftc.gov/news-events/topics/truth-advertising/artificial-intelligence,REVIEW,high,Generated from FTC; source=https://www.ftc.gov/news-events/news/press-releases/2024/09/ftc-announces-crackdown-deceptive-ai-claims-schemes,verified_accident,court_or_regulator,model_governance,"Fixed verified source FTC documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ftc_ai_enforcement
4,ftc-ai-rytr-2024-09-25,Rytr,2024-09-25,model_governance,"FTC official enforcement page records AI-related allegations or findings involving Rytr. Since April 2021, Rytr has marketed and sold an AI “writing assistant” service for a number of uses, one of which was specifically “Testimonial & Review” generation. Paid subscribers could generate an unlimited number of detailed consumer reviews based on very limited and generic input. According to the FTC’s complaint , Rytr’s service generated detailed reviews that contained specific, often material details that had no relation to the user’s input, and these reviews almost certainly would be.",,https://www.ftc.gov/news-events/news/press-releases/2024/09/ftc-announces-crackdown-deceptive-ai-claims-schemes | https://www.ftc.gov/industry/technology/artificial-intelligence | https://www.ftc.gov/news-events/topics/truth-advertising/artificial-intelligence,REVIEW,high,Generated from FTC; source=https://www.ftc.gov/news-events/news/press-releases/2024/09/ftc-announces-crackdown-deceptive-ai-claims-schemes,verified_accident,court_or_regulator,model_governance,"Fixed verified source FTC documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ftc_ai_enforcement
5,ftc-ai-fba-machine-2024-09-25,FBA Machine,2024-09-25,security_privacy,"FTC official enforcement page records AI-related allegations or findings involving FBA Machine. In June, the FTC took action against a business opportunity scheme that allegedly falsely promised consumers that they would make guaranteed income through online storefronts that utilized AI-powered software. According to the FTC, the scheme, which has operated under the names Passive Scaling and FBA Machine, cost consumers more than $15.9 million based on deceptive earnings claims that rarely, if ever, materialize. The complaint alleges that Bratislav Rozenfeld (also known as Steven Rozenfeld.",,https://www.ftc.gov/news-events/news/press-releases/2024/09/ftc-announces-crackdown-deceptive-ai-claims-schemes | https://www.ftc.gov/industry/technology/artificial-intelligence | https://www.ftc.gov/news-events/topics/truth-advertising/artificial-intelligence,REVIEW,high,Generated from FTC; source=https://www.ftc.gov/news-events/news/press-releases/2024/09/ftc-announces-crackdown-deceptive-ai-claims-schemes,verified_accident,court_or_regulator,security_privacy,"Fixed verified source FTC documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ftc_ai_enforcement
