ref_number,incident_id,company,incident_date,incident_topic,incident_description,mapped_claim,source_links,legitimacy_flag,confidence_level,notes,publication_track,evidence_tier,source_family,verification_summary,source_origin,source_registry_key
1,ftc-ai-accessibe-2025-01-03,accessiBe,2025-01-03,security_privacy,"FTC official enforcement page records AI-related allegations or findings involving accessiBe. FTC Order Requires Online Marketer to Pay $1 Million for Deceptive Claims that its AI Product Could Make Websites Compliant with Accessibility Guidelines Company also failed to disclose material connections to online reviewers January 3, 2025 Tags: Consumer Protection Bureau of Consumer Protection deceptive/misleading conduct Technology Advertising and Marketing The Federal Trade Commission will require software provider accessiBe to pay $1 million to settle allegations that it misrepresented t.",,https://www.ftc.gov/news-events/news/press-releases/2025/01/ftc-order-requires-online-marketer-pay-1-million-deceptive-claims-its-ai-product-could-make-websites | https://www.ftc.gov/news-events/news/press-releases/2024/09/ftc-announces-crackdown-deceptive-ai-claims-schemes | https://www.ftc.gov/industry/technology/artificial-intelligence | https://www.ftc.gov/news-events/news/press-releases/2025/02/ftc-finalizes-order-donotpay-prohibits-deceptive-ai-lawyer-claims-imposes-monetary-relief-requires,REVIEW,high,Generated from FTC; source=https://www.ftc.gov/news-events/news/press-releases/2025/01/ftc-order-requires-online-marketer-pay-1-million-deceptive-claims-its-ai-product-could-make-websites,verified_accident,court_or_regulator,security_privacy,"Fixed verified source FTC documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ftc_ai_enforcement
2,ftc-ai-avast-2024-02-22,Avast,2024-02-22,security_privacy,"FTC official enforcement page records AI-related allegations or findings involving Avast. FTC Order Will Ban Avast from Selling Browsing Data for Advertising Purposes, Require It to Pay $16.5 Million Over Charges the Firm Sold Browsing Data After Claiming Its Products Would Block Online Tracking FTC says despite its promises to protect consumers from online tracking, Avast sold consumers' browsing data to third parties February 22, 2024 Tags: Consumer Protection Bureau of Consumer Protection deceptive/misleading conduct Privacy and Security Consumer Privacy The Federal Trade Commiss.",,https://www.ftc.gov/news-events/news/press-releases/2024/02/ftc-order-will-ban-avast-selling-browsing-data-advertising-purposes-require-it-pay-165-million-over | https://www.ftc.gov/news-events/news/press-releases/2024/09/ftc-announces-crackdown-deceptive-ai-claims-schemes | https://www.ftc.gov/industry/technology/artificial-intelligence | https://www.ftc.gov/news-events/news/press-releases/2025/02/ftc-finalizes-order-donotpay-prohibits-deceptive-ai-lawyer-claims-imposes-monetary-relief-requires,REVIEW,high,Generated from FTC; source=https://www.ftc.gov/news-events/news/press-releases/2024/02/ftc-order-will-ban-avast-selling-browsing-data-advertising-purposes-require-it-pay-165-million-over,verified_accident,court_or_regulator,security_privacy,"Fixed verified source FTC documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ftc_ai_enforcement
3,ftc-ai-adobe-2024-06-17,Adobe,2024-06-17,security_privacy,"FTC official enforcement page records AI-related allegations or findings involving Adobe. FTC Takes Action Against Adobe and Executives for Hiding Fees, Preventing Consumers from Easily Cancelling Software Subscriptions Complaint charges that maker of Photoshop and Acrobat deceived consumers about early termination fees, inhibited cancellations June 17, 2024 Tags: Consumer Protection Bureau of Consumer Protection deceptive/misleading conduct Technology Software and Databases Advertising and Marketing Online Advertising and Marketing Advertising and Marketing Basics The Federal Trade.",,https://www.ftc.gov/news-events/news/press-releases/2024/06/ftc-takes-action-against-adobe-executives-hiding-fees-preventing-consumers-easily-cancelling | https://www.ftc.gov/news-events/news/press-releases/2024/09/ftc-announces-crackdown-deceptive-ai-claims-schemes | https://www.ftc.gov/industry/technology/artificial-intelligence | https://www.ftc.gov/news-events/news/press-releases/2025/02/ftc-finalizes-order-donotpay-prohibits-deceptive-ai-lawyer-claims-imposes-monetary-relief-requires,REVIEW,high,Generated from FTC; source=https://www.ftc.gov/news-events/news/press-releases/2024/06/ftc-takes-action-against-adobe-executives-hiding-fees-preventing-consumers-easily-cancelling,verified_accident,court_or_regulator,security_privacy,"Fixed verified source FTC documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ftc_ai_enforcement
4,ftc-ai-that-they-deceived-consumers-into-buying-repair-services-2024-03-14,That They Deceived Consumers into Buying Repair Services,2024-03-14,security_privacy,"FTC official enforcement page records AI-related allegations or findings involving That They Deceived Consumers into Buying Repair Services. Tech Support Firms Will Pay $26 Million to Settle FTC Charges That They Deceived Consumers into Buying Repair Services FTC says firms bilked consumers, including older consumers, by falsely claiming consumers’ computers had security and performance problems March 14, 2024 Tags: Consumer Protection Bureau of Consumer Protection Imposter deceptive/misleading conduct Technology Software and Databases Advertising and Marketing Telemarketing Two tech support companies will pay $26 million to settle.",,https://www.ftc.gov/news-events/news/press-releases/2024/03/tech-support-firms-will-pay-26-million-settle-ftc-charges-they-deceived-consumers-buying-repair | https://www.ftc.gov/news-events/news/press-releases/2024/09/ftc-announces-crackdown-deceptive-ai-claims-schemes | https://www.ftc.gov/industry/technology/artificial-intelligence | https://www.ftc.gov/news-events/news/press-releases/2025/02/ftc-finalizes-order-donotpay-prohibits-deceptive-ai-lawyer-claims-imposes-monetary-relief-requires,REVIEW,high,Generated from FTC; source=https://www.ftc.gov/news-events/news/press-releases/2024/03/tech-support-firms-will-pay-26-million-settle-ftc-charges-they-deceived-consumers-buying-repair,verified_accident,court_or_regulator,security_privacy,"Fixed verified source FTC documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ftc_ai_enforcement
5,ftc-ai-zoom-2021-02-01,Zoom,2021-02-01,security_privacy,"FTC official enforcement page records AI-related allegations or findings involving Zoom. FTC Gives Final Approval to Settlement with Zoom over Allegations the Company Misled Consumers about Its Data Security Practices February 1, 2021 Tags: Consumer Protection Bureau of Consumer Protection deceptive/misleading conduct Coronavirus (COVID-19) Privacy and Security Consumer Privacy Data Security Tech The Federal Trade Commission finalized a settlement with Zoom Video Communications, Inc., over allegations it misled consumers about the level of security it provided for its Zoom meetings.",,https://www.ftc.gov/news-events/news/press-releases/2021/02/ftc-gives-final-approval-settlement-zoom-over-allegations-company-misled-consumers-about-its-data | https://www.ftc.gov/news-events/news/press-releases/2024/09/ftc-announces-crackdown-deceptive-ai-claims-schemes | https://www.ftc.gov/industry/technology/artificial-intelligence | https://www.ftc.gov/news-events/news/press-releases/2025/02/ftc-finalizes-order-donotpay-prohibits-deceptive-ai-lawyer-claims-imposes-monetary-relief-requires,REVIEW,high,Generated from FTC; source=https://www.ftc.gov/news-events/news/press-releases/2021/02/ftc-gives-final-approval-settlement-zoom-over-allegations-company-misled-consumers-about-its-data,verified_accident,court_or_regulator,security_privacy,"Fixed verified source FTC documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ftc_ai_enforcement
6,ftc-ai-credit-card-launderer-for-tech-support-scams-2020-04-22,Credit Card Launderer for Tech Support Scams,2020-04-22,security_privacy,"FTC official enforcement page records AI-related allegations or findings involving Credit Card Launderer for Tech Support Scams. Credit Card Launderer for Tech Support Scams to Pay $6.75 Million to Settle FTC Charges April 22, 2020 Tags: Consumer Protection Bureau of Consumer Protection deceptive/misleading conduct Advertising and Marketing Online Advertising and Marketing Telemarketing Credit and Finance Payments and Billing A Canadian company, RevenueWire, and its CEO, Roberta Leach, will pay $6.75 million to settle Federal Trade Commission charges they laundered credit card payments for, and assisted and facilitated,.",,https://www.ftc.gov/news-events/news/press-releases/2020/04/credit-card-launderer-tech-support-scams-pay-675-million-settle-ftc-charges | https://www.ftc.gov/news-events/news/press-releases/2024/09/ftc-announces-crackdown-deceptive-ai-claims-schemes | https://www.ftc.gov/industry/technology/artificial-intelligence | https://www.ftc.gov/news-events/news/press-releases/2025/02/ftc-finalizes-order-donotpay-prohibits-deceptive-ai-lawyer-claims-imposes-monetary-relief-requires,REVIEW,high,Generated from FTC; source=https://www.ftc.gov/news-events/news/press-releases/2020/04/credit-card-launderer-tech-support-scams-pay-675-million-settle-ftc-charges,verified_accident,court_or_regulator,security_privacy,"Fixed verified source FTC documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ftc_ai_enforcement
7,ftc-ai-auto-dealer-software-company-that-allegedly-failed-2019-09-06,Auto Dealer Software Company That Allegedly Failed,2019-09-06,security_privacy,"FTC official enforcement page records AI-related allegations or findings involving Auto Dealer Software Company That Allegedly Failed. FTC Gives Final Approval to Settlement with Auto Dealer Software Company That Allegedly Failed to Protect Consumers’ Data September 6, 2019 Tags: Consumer Protection Bureau of Consumer Protection Automobiles Privacy and Security Consumer Privacy Data Security Gramm-Leach-Bliley Act Following a public comment period, the Federal Trade Commission approved a final order settling charges against an Iowa-based auto dealer software provider that allegedly failed to take reasonable steps to secure con.",,https://www.ftc.gov/news-events/news/press-releases/2019/09/ftc-gives-final-approval-settlement-auto-dealer-software-company-allegedly-failed-protect-consumers | https://www.ftc.gov/news-events/news/press-releases/2024/09/ftc-announces-crackdown-deceptive-ai-claims-schemes | https://www.ftc.gov/industry/technology/artificial-intelligence | https://www.ftc.gov/news-events/news/press-releases/2025/02/ftc-finalizes-order-donotpay-prohibits-deceptive-ai-lawyer-claims-imposes-monetary-relief-requires,REVIEW,high,Generated from FTC; source=https://www.ftc.gov/news-events/news/press-releases/2019/09/ftc-gives-final-approval-settlement-auto-dealer-software-company-allegedly-failed-protect-consumers,verified_accident,court_or_regulator,security_privacy,"Fixed verified source FTC documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ftc_ai_enforcement
8,ftc-ai-d-link-2019-07-02,D-Link,2019-07-02,security_privacy,"FTC official enforcement page records AI-related allegations or findings involving D-Link. D-Link Agrees to Make Security Enhancements to Settle FTC Litigation Commission alleged the company failed to secure its routers and Internet-connected cameras July 2, 2019 Tags: Consumer Protection Bureau of Consumer Protection Technology Privacy and Security Consumer Privacy Data Security Tech Smart home products manufacturer D-Link Systems, Inc., has agreed to implement a comprehensive software security program in order to settle Federal Trade Commission allegations over misrepresentations t.",,https://www.ftc.gov/news-events/news/press-releases/2019/07/d-link-agrees-make-security-enhancements-settle-ftc-litigation | https://www.ftc.gov/news-events/news/press-releases/2024/09/ftc-announces-crackdown-deceptive-ai-claims-schemes | https://www.ftc.gov/industry/technology/artificial-intelligence | https://www.ftc.gov/news-events/news/press-releases/2025/02/ftc-finalizes-order-donotpay-prohibits-deceptive-ai-lawyer-claims-imposes-monetary-relief-requires,REVIEW,high,Generated from FTC; source=https://www.ftc.gov/news-events/news/press-releases/2019/07/d-link-agrees-make-security-enhancements-settle-ftc-litigation,verified_accident,court_or_regulator,security_privacy,"Fixed verified source FTC documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ftc_ai_enforcement
