ref_number,incident_id,company,incident_date,incident_topic,incident_description,mapped_claim,source_links,legitimacy_flag,confidence_level,notes,publication_track,evidence_tier,source_family,verification_summary,source_origin,source_registry_key
6,ftc-ai-automators-2024-02-27,Automators,2024-02-27,security_privacy,"FTC official enforcement page records AI-related allegations or findings involving Automators. Automators Tags: Consumer Protection Bureau of Consumer Protection Work-at-Home Going into Business deceptive/misleading conduct Retail Technology Advertising and Marketing Online Advertising and Marketing Artificial Intelligence Last Updated February 27, 2024 Case Status Pending Federal Trade Commission, Plaintiff, V. Automators LLC, also doing business as Automators AI and Ecom Skool, a Nevada limited liability company, Empire Ecommerce LLC, a California limited liability company, Onyx Distri.",,https://www.ftc.gov/legal-library/browse/cases-proceedings/automators | https://www.ftc.gov/news-events/news/press-releases/2024/09/ftc-announces-crackdown-deceptive-ai-claims-schemes | https://www.ftc.gov/industry/technology/artificial-intelligence | https://www.ftc.gov/news-events/news/press-releases/2025/02/ftc-finalizes-order-donotpay-prohibits-deceptive-ai-lawyer-claims-imposes-monetary-relief-requires,REVIEW,high,Generated from FTC; source=https://www.ftc.gov/legal-library/browse/cases-proceedings/automators,verified_accident,court_or_regulator,security_privacy,"Fixed verified source FTC documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ftc_ai_enforcement
7,ftc-ai-career-step-2024-07-30,Career Step,2024-07-30,security_privacy,"FTC official enforcement page records AI-related allegations or findings involving Career Step. Career Step to Pay $43.5 Million in Cash and Debt Cancellation to Resolve Charges It Used Deceptive Advertising to Lure Servicemembers and Their Spouses Online career-training company to cancel $27.8 million in student debt and provide $15.7 million in consumer refunds for falsely touting job placement and employer partnerships July 30, 2024 Tags: Consumer Protection Bureau of Consumer Protection Education deceptive/misleading conduct military Advertising and Marketing Online career-training co.",,https://www.ftc.gov/news-events/news/press-releases/2024/07/career-step-pay-435-million-cash-debt-cancellation-resolve-charges-it-used-deceptive-advertising | https://www.ftc.gov/news-events/news/press-releases/2024/09/ftc-announces-crackdown-deceptive-ai-claims-schemes | https://www.ftc.gov/industry/technology/artificial-intelligence | https://www.ftc.gov/news-events/news/press-releases/2025/02/ftc-finalizes-order-donotpay-prohibits-deceptive-ai-lawyer-claims-imposes-monetary-relief-requires,REVIEW,high,Generated from FTC; source=https://www.ftc.gov/news-events/news/press-releases/2024/07/career-step-pay-435-million-cash-debt-cancellation-resolve-charges-it-used-deceptive-advertising,verified_accident,court_or_regulator,security_privacy,"Fixed verified source FTC documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ftc_ai_enforcement
8,ftc-ai-cri-genetics-2023-11-21,CRI Genetics,2023-11-21,security_privacy,"FTC official enforcement page records AI-related allegations or findings involving CRI Genetics. CRI Genetics, FTC and State of California v. Tags: Consumer Protection Bureau of Consumer Protection Advertising and Marketing Endorsements, Influencers, and Reviews Artificial Intelligence Last Updated November 21, 2023 Case Status Pending FEDERAL TRADE COMMISSION and THE STATE OF CALIFORNIA, Plaintiffs v. CRI GENETICS LLC, a limited liability company, also doing business as OMNIPGX, Defendant. Civil Action Number 2:23-cv-9824 Enforcement Type Federal Injunctions Federal Court Central District.",,https://www.ftc.gov/legal-library/browse/cases-proceedings/cri-genetics-ftc-state-california-v | https://www.ftc.gov/news-events/news/press-releases/2024/09/ftc-announces-crackdown-deceptive-ai-claims-schemes | https://www.ftc.gov/industry/technology/artificial-intelligence | https://www.ftc.gov/news-events/news/press-releases/2025/02/ftc-finalizes-order-donotpay-prohibits-deceptive-ai-lawyer-claims-imposes-monetary-relief-requires,REVIEW,high,Generated from FTC; source=https://www.ftc.gov/legal-library/browse/cases-proceedings/cri-genetics-ftc-state-california-v,verified_accident,court_or_regulator,security_privacy,"Fixed verified source FTC documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ftc_ai_enforcement
9,ftc-ai-ngl-labs-2024-07-09,NGL Labs,2024-07-09,security_privacy,"FTC official enforcement page records AI-related allegations or findings involving NGL Labs. FTC Order Will Ban NGL Labs and its Founders from Offering Anonymous Messaging Apps to Kids Under 18 and Halt Deceptive Claims Around AI Content Moderation Agency says app was unfairly marketed to kids and teens, sent fake messages to drive up usage, tricked users into signing up for its paid service, and didn’t obtain consent for recurring charges July 9, 2024 Tags: Consumer Protection Regional Offices Bureau of Consumer Protection Western Region Los Angeles Children's Online Privacy Protectio.",,https://www.ftc.gov/news-events/news/press-releases/2024/07/ftc-order-will-ban-ngl-labs-its-founders-offering-anonymous-messaging-apps-kids-under-18-halt | https://www.ftc.gov/news-events/news/press-releases/2024/09/ftc-announces-crackdown-deceptive-ai-claims-schemes | https://www.ftc.gov/industry/technology/artificial-intelligence | https://www.ftc.gov/news-events/news/press-releases/2025/02/ftc-finalizes-order-donotpay-prohibits-deceptive-ai-lawyer-claims-imposes-monetary-relief-requires,REVIEW,high,Generated from FTC; source=https://www.ftc.gov/news-events/news/press-releases/2024/07/ftc-order-will-ban-ngl-labs-its-founders-offering-anonymous-messaging-apps-kids-under-18-halt,verified_accident,court_or_regulator,security_privacy,"Fixed verified source FTC documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ftc_ai_enforcement
