ref_number,incident_id,company,incident_date,incident_topic,incident_description,mapped_claim,source_links,legitimacy_flag,confidence_level,notes,publication_track,evidence_tier,source_family,verification_summary,source_origin,source_registry_key
31,sec-ai-rockwell-capital-management-2024-02-02,Rockwell Capital Management,2024-02-02,security_privacy,"SEC official enforcement page records AI-related allegations or findings involving Rockwell Capital Management. SEC Charges Founder of American Bitcoin Academy Online Crypto Course with Fraud Targeting Students Defendant claimed his hedge fund would use sophisticated tools like artificial intelligence to generate returns For Immediate Release 2024-13 Washington D.C., Feb. 2, 2024 — The Securities and Exchange Commission today announced that Brian Sewell and his company, Rockwell Capital Management, agreed to settle fraud charges in connection with a scheme that targeted students taking Sewell’s online cr.",,https://www.sec.gov/newsroom/press-releases/2024-13 | https://www.sec.gov/newsroom/press-releases/2024-36 | https://www.sec.gov/newsroom/press-releases/2024-167 | https://www.sec.gov/ai,REVIEW,high,Generated from SEC; source=https://www.sec.gov/newsroom/press-releases/2024-13,verified_accident,court_or_regulator,security_privacy,"Fixed verified source SEC documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,sec_ai_enforcement
32,sec-ai-qz-asset-management-limited-2024-08-27,QZ Asset Management Limited,2024-08-27,security_privacy,"SEC official enforcement page records AI-related allegations or findings involving QZ Asset Management Limited. SEC Charges China-based QZ Asset Management Ltd. and its CEO in Pre-IPO Fraud Scheme Firm’s U.S.-based holding company QZ Global Ltd. also charged with fraud For Immediate Release 2024-109 Washington D.C., Aug. 27, 2024 — The Securities and Exchange Commission today announced charges against China-based investment adviser QZ Asset Management Limited a/k/a Qianze Asset Management Limited (QZ Asset), its South Dakota-based holding company QZ Global Limited, and the CEO of both entities, Blake Yeu.",,https://www.sec.gov/newsroom/press-releases/2024-109 | https://www.sec.gov/newsroom/press-releases/2024-36 | https://www.sec.gov/newsroom/press-releases/2024-167 | https://www.sec.gov/ai,REVIEW,high,Generated from SEC; source=https://www.sec.gov/newsroom/press-releases/2024-109,verified_accident,court_or_regulator,security_privacy,"Fixed verified source SEC documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,sec_ai_enforcement
33,sec-ai-qz-global-limited-2024-08-27,QZ Global Limited,2024-08-27,security_privacy,"SEC official enforcement page records AI-related allegations or findings involving QZ Global Limited. SEC Charges China-based QZ Asset Management Ltd. and its CEO in Pre-IPO Fraud Scheme Firm’s U.S.-based holding company QZ Global Ltd. also charged with fraud For Immediate Release 2024-109 Washington D.C., Aug. 27, 2024 — The Securities and Exchange Commission today announced charges against China-based investment adviser QZ Asset Management Limited a/k/a Qianze Asset Management Limited (QZ Asset), its South Dakota-based holding company QZ Global Limited, and the CEO of both entities, Blake Yeu.",,https://www.sec.gov/newsroom/press-releases/2024-109 | https://www.sec.gov/newsroom/press-releases/2024-36 | https://www.sec.gov/newsroom/press-releases/2024-167 | https://www.sec.gov/ai,REVIEW,high,Generated from SEC; source=https://www.sec.gov/newsroom/press-releases/2024-109,verified_accident,court_or_regulator,security_privacy,"Fixed verified source SEC documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,sec_ai_enforcement
34,sec-ai-pgi-global-2025-04-22,PGI Global,2025-04-22,security_privacy,"SEC official enforcement page records AI-related allegations or findings involving PGI Global. SEC Charges PGI Global Founder with $198 Million Crypto Asset and Foreign Exchange Fraud Scheme For Immediate Release 2025-69 Washington D.C., April 22, 2025 — The Securities and Exchange Commission today charged Ramil Palafox for orchestrating a fraudulent scheme that raised approximately $198 million from investors worldwide and for misappropriating more than $57 million of investor funds. According to the SEC’s complaint, Palafox’s company, known as PGI Global, claimed to be a crypto asset a.",,https://www.sec.gov/newsroom/press-releases/2025-69 | https://www.sec.gov/newsroom/press-releases/2024-36 | https://www.sec.gov/newsroom/press-releases/2024-167 | https://www.sec.gov/ai,REVIEW,high,Generated from SEC; source=https://www.sec.gov/newsroom/press-releases/2025-69,verified_accident,court_or_regulator,security_privacy,"Fixed verified source SEC documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,sec_ai_enforcement
35,sec-ai-ai-wealth-inc-2025-12-22,AI Wealth Inc.,2025-12-22,security_privacy,"SEC official enforcement page records AI-related allegations or findings involving AI Wealth Inc.. SEC Charges Three Purported Crypto Asset Trading Platforms and Four Investment Clubs with Scheme That Targeted Retail Investors on Social Media Defendants misappropriated $14 million from retail investors using fake trading and fake offerings For Immediate Release 2025-144 Washington D.C., Dec. 22, 2025 — The Securities and Exchange Commission today filed charges against purported crypto asset trading platforms Morocoin Tech Corp., Berge Blockchain Technology Co. Ltd., and Cirkor Inc. and inves.",,https://www.sec.gov/newsroom/press-releases/2025-144-sec-charges-three-purported-crypto-asset-trading-platforms-four-investment-clubs-scheme-targeted | https://www.sec.gov/newsroom/press-releases/2024-36 | https://www.sec.gov/newsroom/press-releases/2024-167 | https://www.sec.gov/ai,REVIEW,high,Generated from SEC; source=https://www.sec.gov/newsroom/press-releases/2025-144-sec-charges-three-purported-crypto-asset-trading-platforms-four-investment-clubs-scheme-targeted,verified_accident,court_or_regulator,security_privacy,"Fixed verified source SEC documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,sec_ai_enforcement
36,sec-ai-profit-connect-wealth-services-inc-2021-07-20,"Profit Connect Wealth Services, Inc.",2021-07-20,security_privacy,"SEC official enforcement page records AI-related allegations or findings involving Profit Connect Wealth Services, Inc.. Profit Connect Wealth Services, Inc., Joy I. Kovar, and Brent C. Kovar --> SEC Shuts Down Fraudulent Mother-Son Offering Involving Purported Supercomputer Litigation Release No. 25144 / July 20, 2021 Securities and Exchange Commission v. Profit Connect Wealth Services, Inc., Joy I. Kovar, and Brent C. Kovar , No. 2:21-civ-01298-JAD-BNW (D. Nev. filed July 8, 2021) The Securities and Exchange Commission announced that it has filed an emergency action and obtained a temporary restraining order an.",,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-25144 | https://www.sec.gov/newsroom/press-releases/2024-36 | https://www.sec.gov/newsroom/press-releases/2024-167 | https://www.sec.gov/ai,REVIEW,high,Generated from SEC; source=https://www.sec.gov/enforcement-litigation/litigation-releases/lr-25144,verified_accident,court_or_regulator,security_privacy,"Fixed verified source SEC documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,sec_ai_enforcement
