ref_number,incident_id,company,incident_date,incident_topic,incident_description,mapped_claim,source_links,legitimacy_flag,confidence_level,notes,publication_track,evidence_tier,source_family,verification_summary,source_origin,source_registry_key
2283,sec-ai-delphia-usa-inc-2024-03-18,Delphia (USA) Inc.,2024-03-18,security_privacy,"SEC official enforcement page records AI-related allegations or findings involving Delphia (USA) Inc.. SEC Charges Two Investment Advisers with Making False and Misleading Statements About Their Use of Artificial Intelligence For Immediate Release 2024-36 Washington D.C., March 18, 2024 — The Securities and Exchange Commission today announced settled charges against two investment advisers, Delphia (USA) Inc. and Global Predictions Inc., for making false and misleading statements about their purported use of artificial intelligence (AI). The firms agreed to settle the SEC’s charges and pay $400,.",,https://www.sec.gov/newsroom/press-releases/2024-36 | https://www.sec.gov/newsroom/press-releases/2024-167 | https://www.sec.gov/ai,REVIEW,high,Generated from SEC; source=https://www.sec.gov/newsroom/press-releases/2024-36,verified_accident,court_or_regulator,security_privacy,"Fixed verified source SEC documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,sec_ai_enforcement
2284,sec-ai-global-predictions-inc-2024-03-18,Global Predictions Inc.,2024-03-18,security_privacy,"SEC official enforcement page records AI-related allegations or findings involving Global Predictions Inc.. SEC Charges Two Investment Advisers with Making False and Misleading Statements About Their Use of Artificial Intelligence For Immediate Release 2024-36 Washington D.C., March 18, 2024 — The Securities and Exchange Commission today announced settled charges against two investment advisers, Delphia (USA) Inc. and Global Predictions Inc., for making false and misleading statements about their purported use of artificial intelligence (AI). The firms agreed to settle the SEC’s charges and pay $400,.",,https://www.sec.gov/newsroom/press-releases/2024-36 | https://www.sec.gov/newsroom/press-releases/2024-167 | https://www.sec.gov/ai,REVIEW,high,Generated from SEC; source=https://www.sec.gov/newsroom/press-releases/2024-36,verified_accident,court_or_regulator,security_privacy,"Fixed verified source SEC documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,sec_ai_enforcement
2285,sec-ai-rimar-capital-usa-inc-2024-10-10,"Rimar Capital USA, Inc.",2024-10-10,security_privacy,"SEC official enforcement page records AI-related allegations or findings involving Rimar Capital USA, Inc.. SEC Charges Rimar Capital Entities and Owner Itai Liptz for Defrauding Investors by Making False and Misleading Statements About Use of Artificial Intelligence Rimar Capital USA, Inc. Board Member Clifford Boro also Charged For Immediate Release 2024-167 Washington D.C., Oct. 10, 2024 — The Securities and Exchange Commission today announced charges against Rimar Capital USA, Inc. (Rimar USA), Rimar Capital, LLC (Rimar LLC), Itai Liptz, and Clifford Boro for making false and misleading statement.",,https://www.sec.gov/newsroom/press-releases/2024-167 | https://www.sec.gov/newsroom/press-releases/2024-36 | https://www.sec.gov/ai,REVIEW,high,Generated from SEC; source=https://www.sec.gov/newsroom/press-releases/2024-167,verified_accident,court_or_regulator,security_privacy,"Fixed verified source SEC documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,sec_ai_enforcement
