ref_number,incident_id,company,incident_date,incident_topic,incident_description,mapped_claim,source_links,legitimacy_flag,confidence_level,notes,publication_track,evidence_tier,source_family,verification_summary,source_origin,source_registry_key
26,doj-ai-saferent-2023-01-09,SafeRent,2023-01-09,security_privacy,"DOJ official enforcement page records AI-related allegations or findings involving SafeRent. Louis et al. v. SafeRent et al. (D. Mass.) Share Facebook X LinkedIn Email Overview On January 9, 2023, the United States filed a Statement of Interest in Louis et al. v. SafeRent et al. (D. Mass.), a case brought under the Fair Housing Act (FHA). The Louis lawsuit was filed on behalf of two plaintiffs, Mary Louis and Monica Douglas, Black rental applicants who use housing vouchers to pay part of their rent. Plaintiffs applied for rental housing but allege they were denied due to their “SafeRen.",,https://www.justice.gov/crt/case/louis-et-al-v-saferent-et-al-d-mass | https://www.justice.gov/atr/case-document/complaint-303 | https://www.justice.gov/atr/case/us-and-plaintiff-states-v-realpage-inc | https://www.justice.gov/atr,REVIEW,high,Generated from DOJ; source=https://www.justice.gov/crt/case/louis-et-al-v-saferent-et-al-d-mass,verified_accident,court_or_regulator,security_privacy,"Fixed verified source DOJ documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,doj_ai_enforcement
27,doj-ai-regents-of-the-university-of-california-2022-11-21,Regents of the University of California,2022-11-21,security_privacy,"DOJ official enforcement page records AI-related allegations or findings involving Regents of the University of California. U.S. v. Regents of the University of California Share Facebook X LinkedIn Email Overview On Nov. 21, 2022, the United States filed its Complaint and proposed Consent Decree to resolve allegations that the Regents of the University of California on behalf of the University of California, Berkeley (collectively, UC Berkeley) violates Title II of the Americans with Disabilities Act. UC Berkeley makes conferences, lectures, sporting events, and other University events available to the public on its.",,https://www.justice.gov/crt/case/us-v-regents-university-california | https://www.justice.gov/atr/case-document/complaint-303 | https://www.justice.gov/atr/case/us-and-plaintiff-states-v-realpage-inc | https://www.justice.gov/atr,REVIEW,high,Generated from DOJ; source=https://www.justice.gov/crt/case/us-v-regents-university-california,verified_accident,court_or_regulator,security_privacy,"Fixed verified source DOJ documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,doj_ai_enforcement
28,doj-ai-microsoft-corporation-2021-12-07,Microsoft Corporation,2021-12-07,security_privacy,"DOJ official enforcement page records AI-related allegations or findings involving Microsoft Corporation. Settlements and Lawsuits Share Facebook X LinkedIn Email Galent (Citizenship Status) April 2026 On April 28, 2026, IER finalized a settlement agreement with Diamondpick, Inc. dba Galent, a technology company operating in Delaware, New Jersey, and Texas, to resolve its determination that the company engaged in citizenship status discrimination in hiring and recruitment, in violation of the Immigration and Nationality Act. IER’s investigation found that Galent posted at least thirty discriminator.",,https://www.justice.gov/crt/settlements-and-lawsuits#microsoft-corporation-citizenship-status-december-2021 | https://www.justice.gov/atr/case-document/complaint-303 | https://www.justice.gov/atr/case/us-and-plaintiff-states-v-realpage-inc | https://www.justice.gov/atr,REVIEW,high,Generated from DOJ; source=https://www.justice.gov/crt/settlements-and-lawsuits#microsoft-corporation-citizenship-status-december-2021,verified_accident,court_or_regulator,security_privacy,"Fixed verified source DOJ documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,doj_ai_enforcement
29,doj-ai-ascension-health-alliance-2021-08-25,Ascension Health Alliance,2021-08-25,security_privacy,"DOJ official enforcement page records AI-related allegations or findings involving Ascension Health Alliance. Settlements and Lawsuits Share Facebook X LinkedIn Email Galent (Citizenship Status) April 2026 On April 28, 2026, IER finalized a settlement agreement with Diamondpick, Inc. dba Galent, a technology company operating in Delaware, New Jersey, and Texas, to resolve its determination that the company engaged in citizenship status discrimination in hiring and recruitment, in violation of the Immigration and Nationality Act. IER’s investigation found that Galent posted at least thirty discriminator.",,https://www.justice.gov/crt/settlements-and-lawsuits#ascension-health-alliance-unfair-documentary-practices-august-2021 | https://www.justice.gov/atr/case-document/complaint-303 | https://www.justice.gov/atr/case/us-and-plaintiff-states-v-realpage-inc | https://www.justice.gov/atr,REVIEW,high,Generated from DOJ; source=https://www.justice.gov/crt/settlements-and-lawsuits#ascension-health-alliance-unfair-documentary-practices-august-2021,verified_accident,court_or_regulator,security_privacy,"Fixed verified source DOJ documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,doj_ai_enforcement
