ref_number,incident_id,company,incident_date,incident_topic,incident_description,mapped_claim,source_links,legitimacy_flag,confidence_level,notes,publication_track,evidence_tier,source_family,verification_summary,source_origin,source_registry_key
390,ca-dmv-waymo-2023-04-28,Waymo,2023-04-28,autonomous_vehicle,California DMV published an autonomous vehicle collision report for Waymo dated 2023-04-28.,,https://www.dmv.ca.gov/portal/file/waymo_042823-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting,REVIEW,high,Generated from California DMV; source=https://www.dmv.ca.gov/portal/file/waymo_042823-pdf/,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source California DMV documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ca_dmv_av_collisions
391,ca-dmv-mercedes-benz-2023-04-26,Mercedes Benz,2023-04-26,autonomous_vehicle,California DMV published an autonomous vehicle collision report for Mercedes Benz dated 2023-04-26.,,https://www.dmv.ca.gov/portal/file/mercedesbenz_042623-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting,REVIEW,high,Generated from California DMV; source=https://www.dmv.ca.gov/portal/file/mercedesbenz_042623-pdf/,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source California DMV documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ca_dmv_av_collisions
392,ca-dmv-weride-corp-2023-05-01,WeRide Corp,2023-05-01,autonomous_vehicle,California DMV published an autonomous vehicle collision report for WeRide Corp dated 2023-05-01.,,https://www.dmv.ca.gov/portal/file/weride_050123-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting,REVIEW,high,Generated from California DMV; source=https://www.dmv.ca.gov/portal/file/weride_050123-pdf/,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source California DMV documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ca_dmv_av_collisions
393,ca-dmv-cruise-2023-04-21,Cruise,2023-04-21,autonomous_vehicle,California DMV published an autonomous vehicle collision report for Cruise dated 2023-04-21.,,https://www.dmv.ca.gov/portal/file/cruise_042123-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting,REVIEW,high,Generated from California DMV; source=https://www.dmv.ca.gov/portal/file/cruise_042123-pdf/,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source California DMV documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ca_dmv_av_collisions
394,ca-dmv-cruise-2023-04-22,Cruise,2023-04-22,autonomous_vehicle,California DMV published an autonomous vehicle collision report for Cruise dated 2023-04-22.,,https://www.dmv.ca.gov/portal/file/cruise_042223-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting,REVIEW,high,Generated from California DMV; source=https://www.dmv.ca.gov/portal/file/cruise_042223-pdf/,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source California DMV documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ca_dmv_av_collisions
395,ca-dmv-waymo-2023-04-12,Waymo,2023-04-12,autonomous_vehicle,California DMV published an autonomous vehicle collision report for Waymo dated 2023-04-12.,,https://www.dmv.ca.gov/portal/file/waymo_041223-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting,REVIEW,high,Generated from California DMV; source=https://www.dmv.ca.gov/portal/file/waymo_041223-pdf/,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source California DMV documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ca_dmv_av_collisions
396,ca-dmv-zoox-2023-04-11-2,Zoox,2023-04-11,autonomous_vehicle,California DMV published an autonomous vehicle collision report for Zoox dated 2023-04-11.,,https://www.dmv.ca.gov/portal/file/zoox_041123_2-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting,REVIEW,high,Generated from California DMV; source=https://www.dmv.ca.gov/portal/file/zoox_041123_2-pdf/,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source California DMV documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ca_dmv_av_collisions
397,ca-dmv-cruise-2023-04-12,Cruise,2023-04-12,autonomous_vehicle,California DMV published an autonomous vehicle collision report for Cruise dated 2023-04-12.,,https://www.dmv.ca.gov/portal/file/cruise_041223-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting,REVIEW,high,Generated from California DMV; source=https://www.dmv.ca.gov/portal/file/cruise_041223-pdf/,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source California DMV documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ca_dmv_av_collisions
398,ca-dmv-cruise-2023-04-09,Cruise,2023-04-09,autonomous_vehicle,California DMV published an autonomous vehicle collision report for Cruise dated 2023-04-09.,,https://www.dmv.ca.gov/portal/file/cruise_040923-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting,REVIEW,high,Generated from California DMV; source=https://www.dmv.ca.gov/portal/file/cruise_040923-pdf/,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source California DMV documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ca_dmv_av_collisions
399,ca-dmv-zoox-2023-04-11-1,Zoox,2023-04-11,autonomous_vehicle,California DMV published an autonomous vehicle collision report for Zoox dated 2023-04-11.,,https://www.dmv.ca.gov/portal/file/zoox_041123-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting,REVIEW,high,Generated from California DMV; source=https://www.dmv.ca.gov/portal/file/zoox_041123-pdf/,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source California DMV documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ca_dmv_av_collisions
400,ca-dmv-waymo-2023-04-06,Waymo,2023-04-06,autonomous_vehicle,California DMV published an autonomous vehicle collision report for Waymo dated 2023-04-06.,,https://www.dmv.ca.gov/portal/file/waymo_040623-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting,REVIEW,high,Generated from California DMV; source=https://www.dmv.ca.gov/portal/file/waymo_040623-pdf/,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source California DMV documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ca_dmv_av_collisions
401,ca-dmv-waymo-2023-04-05,Waymo,2023-04-05,autonomous_vehicle,California DMV published an autonomous vehicle collision report for Waymo dated 2023-04-05.,,https://www.dmv.ca.gov/portal/file/waymo_040523-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting,REVIEW,high,Generated from California DMV; source=https://www.dmv.ca.gov/portal/file/waymo_040523-pdf/,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source California DMV documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ca_dmv_av_collisions
402,ca-dmv-waymo-2023-04-03,Waymo,2023-04-03,autonomous_vehicle,California DMV published an autonomous vehicle collision report for Waymo dated 2023-04-03.,,https://www.dmv.ca.gov/portal/file/waymo_040323-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting,REVIEW,high,Generated from California DMV; source=https://www.dmv.ca.gov/portal/file/waymo_040323-pdf/,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source California DMV documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ca_dmv_av_collisions
403,ca-dmv-cruise-2023-03-22-1,Cruise,2023-03-22,autonomous_vehicle,California DMV published an autonomous vehicle collision report for Cruise dated 2023-03-22.,,https://www.dmv.ca.gov/portal/file/cruise_032223_1-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting,REVIEW,high,Generated from California DMV; source=https://www.dmv.ca.gov/portal/file/cruise_032223_1-pdf/,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source California DMV documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ca_dmv_av_collisions
404,ca-dmv-cruise-2023-03-22-2,Cruise,2023-03-22,autonomous_vehicle,California DMV published an autonomous vehicle collision report for Cruise dated 2023-03-22.,,https://www.dmv.ca.gov/portal/file/cruise_032223_2-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting,REVIEW,high,Generated from California DMV; source=https://www.dmv.ca.gov/portal/file/cruise_032223_2-pdf/,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source California DMV documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ca_dmv_av_collisions
405,ca-dmv-cruise-2023-03-22-3,Cruise,2023-03-22,autonomous_vehicle,California DMV published an autonomous vehicle collision report for Cruise dated 2023-03-22.,,https://www.dmv.ca.gov/portal/file/cruise_032223_3-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting,REVIEW,high,Generated from California DMV; source=https://www.dmv.ca.gov/portal/file/cruise_032223_3-pdf/,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source California DMV documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ca_dmv_av_collisions
406,ca-dmv-cruise-2023-03-21-2,Cruise,2023-03-21,autonomous_vehicle,California DMV published an autonomous vehicle collision report for Cruise dated 2023-03-21.,,https://www.dmv.ca.gov/portal/file/cruise_032221_2-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting,REVIEW,high,Generated from California DMV; source=https://www.dmv.ca.gov/portal/file/cruise_032221_2-pdf/,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source California DMV documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ca_dmv_av_collisions
407,ca-dmv-cruise-2023-03-23,Cruise,2023-03-23,autonomous_vehicle,California DMV published an autonomous vehicle collision report for Cruise dated 2023-03-23.,,https://www.dmv.ca.gov/portal/file/cruise_032323-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting,REVIEW,high,Generated from California DMV; source=https://www.dmv.ca.gov/portal/file/cruise_032323-pdf/,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source California DMV documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ca_dmv_av_collisions
408,ca-dmv-cruise-2023-03-21-1,Cruise,2023-03-21,autonomous_vehicle,California DMV published an autonomous vehicle collision report for Cruise dated 2023-03-21.,,https://www.dmv.ca.gov/portal/file/cruise_032123-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting,REVIEW,high,Generated from California DMV; source=https://www.dmv.ca.gov/portal/file/cruise_032123-pdf/,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source California DMV documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ca_dmv_av_collisions
409,ca-dmv-waymo-2023-03-20-1,Waymo,2023-03-20,autonomous_vehicle,California DMV published an autonomous vehicle collision report for Waymo dated 2023-03-20.,,https://www.dmv.ca.gov/portal/file/waymo_032023_1-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting,REVIEW,high,Generated from California DMV; source=https://www.dmv.ca.gov/portal/file/waymo_032023_1-pdf/,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source California DMV documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ca_dmv_av_collisions
410,ca-dmv-waymo-2023-03-20-2,Waymo,2023-03-20,autonomous_vehicle,California DMV published an autonomous vehicle collision report for Waymo dated 2023-03-20.,,https://www.dmv.ca.gov/portal/file/waymo_032023_2-pdf/ | https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/autonomous-vehicle-collision-reports/ | https://www.nhtsa.gov/laws-regulations/standing-general-order-crash-reporting,REVIEW,high,Generated from California DMV; source=https://www.dmv.ca.gov/portal/file/waymo_032023_2-pdf/,verified_accident,official_documented,autonomous_vehicle,"Fixed verified source California DMV documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ca_dmv_av_collisions
