ref_number,incident_id,company,incident_date,incident_topic,incident_description,mapped_claim,source_links,legitimacy_flag,confidence_level,notes,publication_track,evidence_tier,source_family,verification_summary,source_origin,source_registry_key
6,ftc-ai-air-ai-2025-08-25,Air AI,2025-08-25,security_privacy,"FTC official enforcement page records AI-related allegations or findings involving Air AI. FTC Sues to Stop Air AI from Using Deceptive Claims about Business Growth, Earnings Potential, and Refund Guarantees to Bilk Millions from Small Businesses Agency alleges Air AI’s false promises have left many entrepreneurs and small businesses in debt, with losses up to $250,000 August 25, 2025 Tags: Consumer Protection Bureau of Consumer Protection Going into Business deceptive/misleading conduct Franchises, Business Opportunities, and Investments Advertising and Marketing Small Business Arti.",,https://www.ftc.gov/news-events/news/press-releases/2025/08/ftc-sues-stop-air-ai-using-deceptive-claims-about-business-growth-earnings-potential-refund | https://www.ftc.gov/news-events/news/press-releases/2024/09/ftc-announces-crackdown-deceptive-ai-claims-schemes | https://www.ftc.gov/industry/technology/artificial-intelligence | https://www.ftc.gov/news-events/news/press-releases/2025/02/ftc-finalizes-order-donotpay-prohibits-deceptive-ai-lawyer-claims-imposes-monetary-relief-requires,REVIEW,high,Generated from FTC; source=https://www.ftc.gov/news-events/news/press-releases/2025/08/ftc-sues-stop-air-ai-using-deceptive-claims-about-business-growth-earnings-potential-refund,verified_accident,court_or_regulator,security_privacy,"Fixed verified source FTC documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ftc_ai_enforcement
7,ftc-ai-workado-llc-2025-08-28,"Workado, LLC",2025-08-28,security_privacy,"FTC official enforcement page records AI-related allegations or findings involving Workado, LLC. FTC Approves Final Order against Workado, LLC, Which Misrepresented the Accuracy of its Artificial Intelligence Content Detection Product August 28, 2025 Tags: Consumer Protection Regional Offices Northwest Region Bureau of Consumer Protection Technology Advertising and Marketing Artificial Intelligence The Federal Trade Commission has given final approval to an order against Workado, LLC, requiring the company to stop advertising the accuracy or efficacy of its artificial intelligence (AI) con.",,https://www.ftc.gov/news-events/news/press-releases/2025/08/ftc-approves-final-order-against-workado-llc-which-misrepresented-accuracy-its-artificial | https://www.ftc.gov/news-events/news/press-releases/2024/09/ftc-announces-crackdown-deceptive-ai-claims-schemes | https://www.ftc.gov/industry/technology/artificial-intelligence | https://www.ftc.gov/news-events/news/press-releases/2025/02/ftc-finalizes-order-donotpay-prohibits-deceptive-ai-lawyer-claims-imposes-monetary-relief-requires,REVIEW,high,Generated from FTC; source=https://www.ftc.gov/news-events/news/press-releases/2025/08/ftc-approves-final-order-against-workado-llc-which-misrepresented-accuracy-its-artificial,verified_accident,court_or_regulator,security_privacy,"Fixed verified source FTC documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ftc_ai_enforcement
8,ftc-ai-evolv-technologies-2024-11-26,Evolv Technologies,2024-11-26,security_privacy,"FTC official enforcement page records AI-related allegations or findings involving Evolv Technologies. FTC Takes Action Against Evolv Technologies for Deceiving Users About its AI-Powered Security Screening Systems Proposed settlement would prohibit misrepresentations and allow affected schools to opt out of current contracts for security screening systems November 26, 2024 Tags: Consumer Protection Bureau of Consumer Protection Technology Artificial Intelligence The Federal Trade Commission is taking action against Evolv Technologies over allegations that the company made false claims about the.",,https://www.ftc.gov/news-events/news/press-releases/2024/11/ftc-takes-action-against-evolv-technologies-deceiving-users-about-its-ai-powered-security-screening | https://www.ftc.gov/news-events/news/press-releases/2024/09/ftc-announces-crackdown-deceptive-ai-claims-schemes | https://www.ftc.gov/industry/technology/artificial-intelligence | https://www.ftc.gov/news-events/news/press-releases/2025/02/ftc-finalizes-order-donotpay-prohibits-deceptive-ai-lawyer-claims-imposes-monetary-relief-requires,REVIEW,high,Generated from FTC; source=https://www.ftc.gov/news-events/news/press-releases/2024/11/ftc-takes-action-against-evolv-technologies-deceiving-users-about-its-ai-powered-security-screening,verified_accident,court_or_regulator,security_privacy,"Fixed verified source FTC documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ftc_ai_enforcement
9,ftc-ai-intellivision-technologies-2024-12-03,IntelliVision Technologies,2024-12-03,security_privacy,"FTC official enforcement page records AI-related allegations or findings involving IntelliVision Technologies. FTC Takes Action Against IntelliVision Technologies for Deceptive Claims About its Facial Recognition Software Company would be banned from making misrepresentations about the accuracy of its AI-powered technology or its ability to perform free from racial or gender bias December 3, 2024 Tags: Consumer Protection Bureau of Consumer Protection Technology Advertising and Marketing Privacy and Security Artificial Intelligence The Federal Trade Commission is taking action against IntelliVision Tech.",,https://www.ftc.gov/news-events/news/press-releases/2024/12/ftc-takes-action-against-intellivision-technologies-deceptive-claims-about-its-facial-recognition | https://www.ftc.gov/news-events/news/press-releases/2024/09/ftc-announces-crackdown-deceptive-ai-claims-schemes | https://www.ftc.gov/industry/technology/artificial-intelligence | https://www.ftc.gov/news-events/news/press-releases/2025/02/ftc-finalizes-order-donotpay-prohibits-deceptive-ai-lawyer-claims-imposes-monetary-relief-requires,REVIEW,high,Generated from FTC; source=https://www.ftc.gov/news-events/news/press-releases/2024/12/ftc-takes-action-against-intellivision-technologies-deceptive-claims-about-its-facial-recognition,verified_accident,court_or_regulator,security_privacy,"Fixed verified source FTC documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ftc_ai_enforcement
10,ftc-ai-rite-aid-2024-03-08,Rite Aid,2024-03-08,security_privacy,"FTC official enforcement page records AI-related allegations or findings involving Rite Aid. Rite Aid Corporation, FTC v. Tags: Consumer Protection Bureau of Consumer Protection Retail Technology Privacy and Security Consumer Privacy Tech Artificial Intelligence Last Updated March 8, 2024 Case Status Pending FEDERAL TRADE COMMISSION, Plaintiff, v. RITE AID CORPORATION, a corporation, and RITE AID HDQTRS. CORP., a corporation, Defendants. FTC Matter/File Number 2023190 Docket Number 2:23-cv-5023 Federal Court Eastern District of Pennsylvania Case Summary Rite Aid is prohibited from usin.",,https://www.ftc.gov/legal-library/browse/cases-proceedings/2023190-rite-aid-corporation-ftc-v | https://www.ftc.gov/news-events/news/press-releases/2024/09/ftc-announces-crackdown-deceptive-ai-claims-schemes | https://www.ftc.gov/industry/technology/artificial-intelligence | https://www.ftc.gov/news-events/news/press-releases/2025/02/ftc-finalizes-order-donotpay-prohibits-deceptive-ai-lawyer-claims-imposes-monetary-relief-requires,REVIEW,high,Generated from FTC; source=https://www.ftc.gov/legal-library/browse/cases-proceedings/2023190-rite-aid-corporation-ftc-v,verified_accident,court_or_regulator,security_privacy,"Fixed verified source FTC documents this incident; editorial review still checks AI relevance, dedupe, and severity.",fixed_verified_source,ftc_ai_enforcement
